id_hecho,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2016-0047,1,4/15/2016,5:30:00,CALLE,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PASAJEROS
2016-0048,1,4/15/2016,17:40:00,AVENIDA,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,PEATON,PASAJEROS
2016-0049,1,4/17/2016,0:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,MOTO,AUTO
2016-0050,1,4/19/2016,9:50:00,AVENIDA,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON,PASAJEROS
2016-0051,1,4/20/2016,4:00:00,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO,CARGAS
2016-0052,1,4/20/2016,20:00:00,AUTOPISTA,AUTOPISTA LUGONES PK 10000,13,.,.,MOTO,AUTO
2016-0053,1,4/22/2016,9:30:00,AVENIDA,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,PEATON,PASAJEROS
2016-0054,1,4/23/2016,21:00:00,AUTOPISTA,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,MOTO
2016-0055,1,4/25/2016,20:30:00,AVENIDA,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON,CARGAS
2016-0056,1,4/26/2016,4:45:00,AVENIDA,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO
2016-0058,1,5/4/2016,14:00:00,CALLE,LIMA 1471,1,-58.38247542,-34.62556293,PEATON,MOTO
2016-0059,1,5/8/2016,16:30:00,CALLE,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON,PASAJEROS
2016-0064,1,5/14/2016,18:11:00,AVENIDA,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON,PASAJEROS
2016-0065,1,5/20/2016,14:40:00,AVENIDA,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON,AUTO
2016-0067,1,5/21/2016,17:00:00,AVENIDA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,MOTO,PASAJEROS
2016-0068,1,5/22/2016,22:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS
2016-0069,1,5/23/2016,3:30:00,AVENIDA,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO,CARGAS
2016-0073,1,6/11/2016,15:00:00,CALLE,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO,CARGAS
2016-0074,1,6/12/2016,6:40:00,GRAL PAZ,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO
2016-0075,1,6/12/2016,23:13:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO
2016-0076,1,6/13/2016,16:20:00,AVENIDA,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PASAJEROS
2016-0077,1,6/13/2016,21:52:00,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,PEATON,PASAJEROS
2016-0078,1,6/13/2016,23:01:00,AVENIDA,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,MOTO,MOTO
2016-0079,1,6/16/2016,17:13:00,AVENIDA,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,AUTO
2016-0080,1,6/18/2016,6:42:00,GRAL PAZ,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,AUTO
2016-0081,1,6/22/2016,7:42:00,AVENIDA,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,MOTO,AUTO
2016-0082,1,6/27/2016,18:24:00,AVENIDA,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON,AUTO
2016-0083,1,6/28/2016,20:46:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON,MOTO
2016-0084,1,6/29/2016,22:00:00,CALLE,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON,PASAJEROS
2016-0085,1,6/29/2016,22:00:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.65734100,MOTO,OTRO
2016-0086,1,6/30/2016,16:10:00,AVENIDA,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON,PASAJEROS
2016-0087,1,7/2/2016,0:10:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO
2016-0088,1,7/11/2016,15:30:00,CALLE,CERETTI y NUÃ‘EZ,12,-58.50151750,-34.56767549,PEATON,AUTO
2016-0089,1,7/14/2016,6:40:00,AUTOPISTA,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON,AUTO
2016-0090,1,7/14/2016,22:00:00,AVENIDA,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,PEATON,PASAJEROS
2016-0092,1,7/15/2016,11:00:00,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,CARGAS
2016-0093,1,7/17/2016,3:30:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO,AUTO
2016-0095,1,7/23/2016,6:12:00,AVENIDA,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO,AUTO
2016-0096,1,7/25/2016,7:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS
2016-0097,1,7/26/2016,18:45:00,CALLE,SOLIS y MEXICO,1,-58.39038605,-34.61562810,PEATON,AUTO
2016-0098,1,7/27/2016,16:08:00,AVENIDA,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,MOTO,CARGAS
2016-0099,1,7/29/2016,16:00:00,GRAL PAZ,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS,CARGAS
2016-0100,1,8/3/2016,23:27:00,GRAL PAZ,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO
2016-0101,1,8/7/2016,19:42:00,GRAL PAZ,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,MOTO,AUTO
2016-0102,1,8/10/2016,23:37:00,AVENIDA,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,MOTO,CARGAS
2016-0104,1,8/14/2016,21:15:00,AVENIDA,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,MOTO,PASAJEROS
2016-0105,1,8/17/2016,0:05:00,AVENIDA,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PEATON,PASAJEROS
2016-0106,1,8/19/2016,21:02:00,AVENIDA,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PEATON,PASAJEROS
2016-0107,1,8/20/2016,8:22:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO,AUTO
2016-0109,1,8/24/2016,5:45:00,AUTOPISTA,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO
