,id,start_date,end_date,created_on,latitud,longitud,place_l2,place_l3,place_l4,place_l5,place_l6,operation,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price,property_currency,property_title
122252,qla6vpZsjgI/iOMwIJzJ/w==,2021-09-25,2022-02-09,2021-09-25,-34.5628031445,-58.4385538101,Capital Federal,Palermo,,,,Venta,Departamento,5.0,4.0,255.0,230.0,780000.0,USD,PISO EN VENTA PALERMO 5 AMB con depend. y cochera
217850,7DKGx23hYFmY0SaKqigLIA==,2021-09-04,2022-03-09,2021-09-04,-34.5950158,-58.396134,Capital Federal,Recoleta,,,,Venta,Departamento,4.0,3.0,,134.0,338000.0,USD,Semipiso al Frente (3 dormitorios c/dep ) - Recoleta
323974,qexXBvMP1VJLleSrZSUgpA==,2021-03-03,2021-06-05,2021-03-03,-34.5758518,-58.4619667,Capital Federal,Belgrano,,,,Venta,Departamento,2.0,1.0,71.0,49.0,209000.0,USD,Departamento - Belgrano R
291957,QqmLL3CwBGOPueSPxBdktA==,2021-02-22,2022-04-06,2021-02-22,-34.6120749,-58.3619281,Capital Federal,Puerto Madero,,,,Venta,Departamento,3.0,2.0,174.0,174.0,1050000.0,USD,"Mulieris VENTA CIUDAD !! 2 dormitorios, 2 cochera"
30020,TsmTUMcnfI2qfTKSWmMmng==,2021-10-15,2021-10-21,2021-10-15,-34.5785433,-58.4142623,Capital Federal,Palermo,,,,Venta,Departamento,5.0,4.0,170.0,160.0,499000.0,USD,Duplex 5 ambiente en Av. Cerviño al 3900
398759,BBPAQ+9leZ2Py4ED36iHow==,2021-02-13,2021-03-01,2021-02-13,-34.6195194,-58.4368629,Capital Federal,Caballito,,,,Venta,Departamento,3.0,2.0,67.0,67.0,135000.0,USD,Venta departamento 3 ambientes. Apto profesional
262011,oUpzEwPepEbvTTEqtiQllw==,2021-11-06,2022-01-27,2021-11-06,-34.5873706041,-58.4227028037,Capital Federal,Palermo,Palermo Soho,,,Venta,Departamento,3.0,2.0,71.0,66.0,389000.0,USD,RETASADO! U$S 389.000 - 3 amb con Cochera - Guatemala 4500
450186,QKD3hGu7r+M2GylY02XDfQ==,2021-12-16,2022-03-25,2021-12-16,-34.5923315,-58.4263645,Capital Federal,Palermo,,,,Venta,Departamento,1.0,,44.0,30.0,79900.0,USD,"VENTA DEPARTAMENTO MONOAMBIENTE PALERMO, CABA "
98338,327pQXNrIrQ1hDlWt51Qkg==,2021-02-19,9999-12-31,2021-02-19,-34.634565,-58.3988367,Capital Federal,Parque Patricios,,,,Venta,PH,2.0,1.0,54.0,46.0,95000.0,USD,PH - Parque Patricios
291673,ENYioO181GwgMO8QQCeRCw==,2021-02-22,2021-02-26,2021-02-22,-34.6068722949,-58.3940903805,Capital Federal,Congreso,,,,Venta,Departamento,5.0,4.0,255.0,155.0,304000.0,USD,Gran terraza de uso exclusivo en bellísimo departamento de 5 ambientes
